artist,artist_id,count,genres
Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,1,alternative pop rock|pop
Dr. Dog,4mLJ3XfOM5FPjSAWdQ2Jk7,4,alternative rock|indie folk|indie pop|indie rock|modern folk rock|modern rock|philly indie|shimmer pop|stomp and holler
Dr. Dre,6DPYiyq5kWVQS4RGwxzPC7,3,g funk|gangster rap|hip hop|rap|west coast rap
Drake,3TVXtAsR1Inumwj472S9r4,1,canadian hip hop|canadian pop|hip hop|pop rap|rap|toronto rap
Drew Holcomb & The Neighbors,4RwbDag6jWIYJnEGH6Wte9,5,acoustic pop|indie folk|indiecoustica|neo mellow|new americana|stomp and holler
Dria,6TdWOjwRnSDGDqWLISPiw2,1,
Drummer,2ubgwp2gCwaTpqrwjkiF41,3,deep indie pop
Durand Jones & The Indications,6TVVIyd0fsRDGg6WzHKyTP,1,funk
Dusty Springfield,5zaXYwewAXedKNCff45U5l,1,adult standards|brill building pop|british invasion|folk|folk rock|mellow gold|motown|soul|vocal jazz
Earl Sweatshirt,3A5tHz1SfngyOZM2gItYKu,1,alternative hip hop|escape room|experimental hip hop|hip hop|rap|underground hip hop
Easy Giant,30GTS0uRAeWkcoDAwHfKJB,1,
Eau Claire Memorial Jazz I,4hRBjeemQ2NVkMIcaN9n3g,3,eau claire indie
Ehiorobo,5kZ3bLambJ4rBTQ7c2pmi5,1,neo r&b
Electric Guest,7sgWBYtJpblXpJl2lU5WVs,4,alternative dance|indie pop|indie rock|indietronica|la indie|modern rock|shimmer pop|vapor soul
Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,1,adult standards|jazz blues|swing|vocal jazz
Ellie Holcomb,5hNiAUVPCTgcpy8vljCxzs,1,anthem worship|ccm|indiecoustica|roots worship
Elliot Root,2czQ8vG4i3wBWxfsAt4yqw,1,hopebeat|indie cafe pop|indie poptimism|indiecoustica|indietronica|modern rock|stomp and holler
Eloise,7LlIWfvgWlDBXfxCvCFbuC,1,bedroom soul
Elton John,3PhoLpVuITZKcymswpck5b,2,glam rock|mellow gold|piano rock|soft rock
Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,1,rock-and-roll|rockabilly
Emanuel and the Fear,04KTuIKAn0UgWuZiWvBXoo,1,stomp pop
Emile Haynie,3HlAg5EbFYOdlVPooU9f0K,1,buffalo ny indie
Emily Sage,5VmTuE1qfSRDnjltjkNTWL,1,charlotte nc indie
Emma Stone,68Uwx1d3EbjDJhYsLjqvIq,3,hollywood
Eric D. Johnson,4LBdlNpHBD8dHPcVCrjSB6,1,
Eric Krasno,6tQIsqw6DrDfdoPwOrOD6k,1,
Eryn Allen Kane,5xI4mPixKfrCCspATqbpy3,1,alternative r&b|indie soul|neo r&b
